product,rating,rating_no,sales,current_price,original_price
Lal Qilla Brown Basmati Rice 1 kg,4.4/5,(7),31 Sold,Rs.410,Rs. 500
DhikiJato Local Anadi Chamal 1 KG,4.5/5,(20),145 Sold,Rs.350,
Dhiki Jato Jumla Marsi Chamal 1kg,4.4/5,(10),51 Sold,Rs.270,
Newari Shahi Pulao Basmati Rice 5 Kg,4.9/5,(14),94 Sold,Rs.995,
Taichin Chamal 1Kg,4.7/5,(12),161 Sold,Rs.195,
Newari Shahi Pulao Basmati Rice  - 5 Kg,5/5,(2),,Rs.995,"Rs. 1,000"
Jeeramasino Brown Rice- 1 Kg,4/5,(4),80 Sold,Rs.150,
Marsi Rice 1Kg,4.2/5,(11),155 Sold,Rs.300,
India Gate Basmati Rice,5/5,(7),97 Sold,Rs.200,
Sushi Rice - 1 Kg,4.7/5,(35),411 Sold,Rs.500,
Jumla Marsi Rice 1 Kg,4.4/5,(25),295 Sold,Rs.300,
"Maharani Parboiled Basmati Rice, 1 Kg",,,,Rs.350,
Brown Rice 5 Kg,4.3/5,(28),185 Sold,Rs.850,
Gyan Basmati Rice Premium -5Kg,4.9/5,(7),40 Sold,Rs.800,
Brown Rice 1 Kg,4/5,(16),177 Sold,Rs.170,
Black Rice 1 Kg,4.3/5,(12),193 Sold,Rs.600,
Rato taichin chiura /Red Taichin Beaten Rice 1kg,,,,Rs.180,
Pahadi Jetho Budho Rice 1KG Pouch,5/5,(2),30 Sold,Rs.290,
Lal Qilla Diabetes Obesity Rice 1 kg,5/5,(3),,Rs.400,Rs. 499
Anandi Rice ( Sticky Rice ) 1Kg,4.6/5,(22),262 Sold,Rs.280,
India Gate Brown Rice 1 kg,4/5,(2),47 Sold,Rs.390,
Taichin Stick Rice 1kg,3/5,(1),,Rs.170,
India Gate Basmati Rice 1kg,5/5,(2),,Rs.225,
Jumla Marsi Rice 5 Kg,4.4/5,(10),94 Sold,"Rs.1,500",
B S Local Organic Mix Rice 1kg,,,,Rs.270,
Bhansaghar Premium Long Grain Rice 20 Kg,5/5,(1),,"Rs.3,725","Rs. 3,900"
Thakali Long Grain Basmati Rice 5Kg,,,,Rs.970,Rs. 980
Melamchi Local Basmati Rice 5 Kg,3.6/5,(5),39 Sold,"Rs.1,000",
Har-Pal Premium Long Basmati Rice 5kg,4.2/5,(5),,Rs.950,
Local Pokhareli Rice 5 Kg,4.8/5,(4),43 Sold,Rs.750,
Harpal Boiled Rice - 5Kg,4/5,(2),,Rs.900,
Local Pokhareli Rice 1 Kg,3.6/5,(5),54 Sold,Rs.160,
Jumla Marsi/ Red Rice- 1 Kg,4.5/5,(24),279 Sold,Rs.300,
Goodluck 7 Star Long Grain Rice 20kg,,,,"Rs.3,200",
Dhiki Jato Local Siramla Chamal 5kg,5/5,(3),,Rs.750,
Stick Sushi Rice,,,,Rs.250,
Lal Qilla Elite Tibar Basamati Rice 5 kg,5/5,(1),,"Rs.1,400","Rs. 1,500"
Gyan Premium Basmati Rice 10 Kg PP Bag,4.9/5,(15),69 Sold,"Rs.1,500",
Newari Shahi Pulao Basmati Rice- 20 kg,3/5,(1),,"Rs.3,715","Rs. 3,800"
Karnali Foods Brown Rice - 1 Kg,,,,Rs.300,
"Aarati Classic Basmati Rice, 20kg",5/5,(1),,"Rs.5,000",
1 Kg Nepali Local Taichin Rice/ Sticky Rice/ Local Chamal/ Glutinous Rice/ Sushi Rice/ Best Quality Nepali local Thick Rice,5/5,(1),,Rs.222,Rs. 350
BS Local Organic Brown Basmati Rice 1Kg,4.7/5,(3),,Rs.230,
Ghaila Premium Basmati Rice-5kg,3.4/5,(8),30 Sold,Rs.700,
Bhansaghar Premium Long Grain Parboiled Rice 5 Kg,3/5,(2),,Rs.900,
Ghaila Premium Basmati Rice-25kg,5/5,(2),,"Rs.3,500",
Bhansaghar Premium Long Grain Rice 5 Kg,3.8/5,(4),,Rs.975,
Brown Rice 5kg,1.5/5,(2),38 Sold,Rs.670,
Basmati Rice 1 Kg,4.4/5,(20),127 Sold,Rs.200,
Silaura Rice 1 Kg,5/5,(4),36 Sold,Rs.230,
Local Basmati Rice 5Kg,,,,Rs.700,
Pearl Premium Jeera Masino Rice - 25Kg,5/5,(3),,"Rs.2,700",
Gyan Basmati Boiled Rice 5Kg,,,,Rs.800,
Newari Shahi Pulao Basmati Rice- 20 kg,5/5,(3),,"Rs.3,800",
Local Jeera Masino Rice 5 Kg,4/5,(2),,Rs.750,
BS Local Organic Sticky Rice Small 1Kg,4.4/5,(7),40 Sold,Rs.290,
Kalpana Bhog Premium Jeera Masino Ghee Rice 25kg,5/5,(1),,"Rs.2,330",
Dhairya Usina Long Grain Basmati Rice 20 Kg,5/5,(1),,"Rs.2,750",
Newari Shahi Pulao Basmati Rice - 20kg,5/5,(7),57 Sold,"Rs.3,750","Rs. 3,995"
Mato Marsi Rice 1kg,,,,Rs.275,
Best Quality Brown Rice (Hakuwa Chamal) 3 Kg,3.5/5,(2),,Rs.300,
Baluwatar Organics Basmati Rice 1Kg,,,,Rs.250,
Ecoraganics 200 grams of Jau/ Barley for Pooja/ Puja/ Worship and Other Multipurpose Works  Barley Grain / Natural and Rich Fiber Jau Seeds,,,,Rs.199,
Local Rice (Chamal) - 1kg,,,,Rs.155,
BS Local Organic Mixed Rice 1Kg,,,,Rs.300,
Baluwatar Organics Chino Rice 1Kg,,,,Rs.435,
Himalayan Herbs & Organic Jumla Marsi Rice - 1Kg,,,,Rs.290,
BS Local Organic White Basmati Rice 1Kg,,,,Rs.230,
Geda Gudi Nepal Taichin Rice 1kg,,,,Rs.180,
Brown Aaju Foods Marsi Chamal 5 Kg Set Of 2,,,,"Rs.2,530",
Kalanamak Rice,,,,Rs.611,
BS Local Organic Brown Taichin 1Kg,,,,Rs.200,
Suddha Khadya Udhyog Local Sheto Chykala 20 Kg,,,,"Rs.2,600",
Himalaya Organic OR Chitwan Rice 1kg,,,,Rs.120,
Taichin rice,,,,Rs.799,Rs. 850
Bardiya Ko Local Rice Masino Sama-Mansooli Chamal 1Kg,,,,Rs.130,
Brown Rice 1Kg,,,,Rs.200,
Kashish Good Luck Long Grain Basmati Rice 20kg,,,,"Rs.2,800",
Marsi Jumla Chamal 1Kg,,,,Rs.300,
"Fortune Everyday Basmati Rice, Full Grain, 1 kg",,,,Rs.260,
"Maharani Classic Reserve Basmati Rice with Rich Aroma and Royal Taste, 5 Kg",,,,"Rs.1,500",
"Fortune Rozana Basmati Rice,1 kg(Pack of 2)",,,,Rs.470,
BS Local Organic Proso Millet Rice 500g,,,,Rs.240,
Dhan Bari Premium Long Grain Rice 1 kg,,,,Rs.200,
Marsi Rice,,,,"Rs.1,268",
Himalayan Herbs & Organic Cheeno Rice - 1Kg,,,,Rs.350,
Rice Grain (Dhan) 1Kg,,,,Rs.75,Rs. 95
Sara Foods Kalanamak Rice 2 Kg,,,,Rs.500,
Gyan Basmati Rice Premium 20 Kg - Basmati Rice With Long Grain,,,,"Rs.4,000",
"India Gate Basmati Rice Bag, Super, 5kg",,,,"Rs.2,000",
Rice Paper 400 g,,,,Rs.985,
Japanese Rice - 5kg,,,,"Rs.4,800",
Prakritee Long Grain Basmati Rice 20Kg,,,,"Rs.4,000",
Organic Rice Healthy For Health.Its very testy softy..,,,,Rs.270,
Suddha Khadya Udhyog Local Pahelo Chyakala 20 Kg,,,,"Rs.2,400",
HBB Makkai Ko Chamal 500grm,,,,Rs.100,
"Nepal Gramodhyog Long Grain Basmati Rice, 1 Kg",,,,Rs.210,
BS Local Organic Anadi Rice Thulo 1Kg,,,,Rs.375,
HBB Makkai Ko Chamal 500grm Pack of 3pc,,,,Rs.285,
Kalanamak Rice,,,,"Rs.1,501",
Gyan Basmati Rice Premium 5 Kg - Basmati Rice With Long Grain,,,,"Rs.1,200",
Prakritee Long Grain Basmati Rice 1Kg,,,,Rs.215,
"India Gate Basmati Rice Pouch, Feast Rozzana, 1kg",,,,Rs.215,
Nano Premium Basmati Rice -1kg,,,,Rs.199,
Galaxy Jumbo Biryani Basmati Rice,,,,"Rs.1,350",
Dhan Bari Premium Long Grain Rice 5kg,,,,"Rs.1,000",
Gyan Basmati Rice Premium 10 Kg - Basmati Rice With Long Grain,,,,"Rs.2,100",
Gedagudi Brown Rice 1kg,,,,Rs.140,
Local Jetho Budho Rice 5 Kg,,,,"Rs.1,550","Rs. 1,700"
Marsi Rice,,,,Rs.275,
Local Jetho Budho Rice 1 Kg,,,,Rs.320,Rs. 340
Jhama Jham Premium Non-Basmati Rice - 25kg,,,,"Rs.2,375",
Arju Premium Local Rice Stream 20Kg,,,,"Rs.2,325","Rs. 2,350"
Aarati Premium Rice Long Grain-20 Kg,,,,"Rs.3,725","Rs. 4,200"
Everest Premium Aromatic  Super Long Basmati Basnadhar Long Grain Rice 5 Kg,,,,Rs.960,Rs. 980
Lal Qilla Majestic 1121 Steamed Basmati Rice 1 kg,,,,Rs.365,Rs. 450
Santa jeera basmati rice 25kg,,,,"Rs.2,150","Rs. 2,400"
Shristi Supreme Steam Sonam Rice -26 Kg,,,,"Rs.3,099",
White Aaju Foods Jetho Budo Chamal 2 Kg,1/5,(1),,Rs.569,
Red Beaten Rice-800g,5/5,(1),,Rs.200,
5 Kg Boiled Basmati White Rice Loosely Packed | Wusina Chamal,2/5,(1),,"Rs.1,499",
"Fortune Everyday Basmati Rice, Full Grain, 5 kg",3/5,(1),,"Rs.1,250",
BS Local Organic Pokhareli Rice 1kg,5/5,(2),,Rs.180,
"India Gate Basmati Rice Pouch, Feast Rozzana, 1kg",4/5,(2),,Rs.350,
taichin rice / local chamal /Glutinous Rice,3/5,(2),35 Sold,Rs.350,
"Mithas Premium Reserve Rice, 5 Kg",5/5,(1),,"Rs.1,100",
Brown Rice 2kg,,,,Rs.280,
Baluwatar Organics Marsi Rice 1Kg,5/5,(1),,Rs.450,
Jumla Marsi/ Red Rice- 1 Kg,,,,Rs.350,
Local Taichin Rice 10kg,2/5,(1),,"Rs.1,690",
BS Local Organic Siraulo Rice 1Kg,5/5,(1),,Rs.275,
Kalanamak Rice,1/5,(1),,Rs.311,
BS Local Organic Jumli Marsi Rice 1Kg,4/5,(2),,Rs.300,
5 Kg Boiled Basmati White Rice Loosely Packed | Wusina Chamal,3.5/5,(4),,"Rs.1,499",
White Aaju Foods Kala Namak Chamal 5 Kg Set Of 2,5/5,(1),,"Rs.3,100",
Lal Qilla White Line Classic 1121 Raw Basmati Rice 1 kg,,,,Rs.365,Rs. 510
Local Jira Masino Rice 5Kg,,,,Rs.750,
"India Gate Basmati Rice Pouch, Feast Rozzana, 5kg",5/5,(1),,"Rs.1,050",
Brown Rice(Marshi Chamal)-1Kg,5/5,(1),,Rs.250,
Marsi Rice,,,,Rs.528,
White Beaten Rice(Seto Taichin Chiura)-800g,,,,Rs.160,
पोखरेली जेठो बुडो चमल ब्राउन राइस - 1 किलो,1/5,(1),,Rs.250,
"India Gate Basmati Rice Pouch, Classic, 1kg",5/5,(1),39 Sold,Rs.450,
Urja Steam Jeera Masino Rice-25kg,,,,"Rs.2,700",
Ghaila Jeera Masino Rice-25kg,5/5,(1),,"Rs.2,400",
Local Taichin Rice 5kg,4.3/5,(3),,Rs.850,
Good Luck Premium Regular Long Grain Rice  20 Kg,1/5,(1),,"Rs.2,700",
HBB Makkai Ko Chamal 500grm Pack of 2pc,,,,Rs.195,
Bhansaghar Premium Long Grain Rice 5 Kg,,,,Rs.975,
Newari Shahi Pulao Basmati Rice - 1kg,5/5,(6),33 Sold,Rs.220,
Goodluck Premium Long Grain Rice 3 Star 20 Kg,,,,"Rs.2,950",
Lal Qilla Dubar Basmati Rice -1kg,5/5,(1),,Rs.370,
Pokhreli Jetho Budo Chamal  - 1kg,2.8/5,(6),87 Sold,Rs.250,
Fortune Rozana Basmati Rice 20 kg,,,,"Rs.3,800","Rs. 4,000"
India Gate Basmati Rice Dubar 5kg,5/5,(1),,"Rs.1,250",
"Nepal Gramodhyog Long Grain Basmati Rice, 5 Kg",,,,"Rs.1,050",
B S Local Organc Proso Millet Rice 500g,5/5,(3),,Rs.250,
"Marsi Rise, 1 Kg",5/5,(1),,Rs.350,
Brown Rice 2kg,4/5,(4),,Rs.350,Rs. 450
Dhiki Jato Jetho Budo Chamal 1kg,4.1/5,(9),87 Sold,Rs.290,
Sonumonu Premium Steam Jeera Rice 25kg,,,,"Rs.2,400",
Arju Everest Premium Super Long Basmati Basnadhar Rice 5 Kg,,,,Rs.960,"Rs. 1,000"
"India Gate Basmati Rice, 5 Kg",5/5,(1),,"Rs.1,100",
Local Kalanamak Rice 1 Kg,,,,Rs.320,Rs. 340
Muskan Long Grain Basmati Rice 20kg,,,,"Rs.2,900",
Prakritee Long Grain Basmati Rice 5Kg,,,,"Rs.1,050",
Lal Qilla White Line Classic 1121 Raw Basmati Rice 5 kg,,,,"Rs.1,850","Rs. 1,949"
Bhaktapur's Special Local Taichin Chamal [ Glutenous Rice ] 1 Kg,2/5,(1),,Rs.160,
Thapa Gold Premium Steam Jeera Masino katarni Rice 25kg,,,,"Rs.2,400",
Ghaila Mansuli Rice-25kg,3.7/5,(3),,"Rs.2,050",
Bhansaghar Premium Long Grain Parboiled Rice 5 Kg,5/5,(2),,Rs.950,
Newari Shahi Pulao Basmati Rice 1 Kg,3.9/5,(7),36 Sold,Rs.215,
Goodluck 3 Star Premium Basmati Rice 20Kg,3.5/5,(2),,"Rs.2,700",
India Gate Basmati Rice - 5kg,4.1/5,(7),47 Sold,"Rs.1,040",
Ripuraj Sonashakti Finest Jeera Rice - 20kg,5/5,(1),,"Rs.2,399",
Ripuraj Mahashakti Rice-26 Kg,,,,"Rs.3,199",
Ganga Shree Bpt Katarni Silky Sortex Rice -25 Kg,,,,"Rs.2,499",
Lal Qilla 507 Gold Indian Basmati Rice Poly Bag 1 kg,5/5,(1),,Rs.235,Rs. 300
Ripuraj jeera Masina Rice 25kg,,,,"Rs.2,400",
Fortune Everyday Full Grain Basmati Rice 20 Kg,,,,"Rs.3,600",
Local Jeera Masino Rice 1 Kg,5/5,(7),49 Sold,Rs.150,
Taichin Chamal 5kg,4.7/5,(6),46 Sold,Rs.925,
Newari Shahi Pulao Basmati Rice - 5kg,4.8/5,(15),45 Sold,"Rs.1,045",
Anadi Rice 1Kg,4.1/5,(9),79 Sold,Rs.270,
New Devishree Bhog Premium Mota Rice 25kg,,,,"Rs.1,930",
Brown Rice 1kg,5/5,(1),,Rs.140,
BS Local Organic Black Rice 1Kg,4/5,(6),60 Sold,Rs.450,
Fortune Gujarat Special Jeerasar Rice-26 Kg,,,,"Rs.2,599",
5Kg Kitchen Nano Bucket Insect-Proof Moisture-Proof Rice Cylinder Food Storage Sealed Grain Household Box,,,,"Rs.3,804","Rs. 7,553"
"2 Pack Stainless Steel Rice Washing Bowls,with Stable Adhesive Hook",,,,"Rs.3,454","Rs. 6,734"
Rotating Food Dispenser Rice Bucket Rice Storage Tank Container,,,,"Rs.7,878","Rs. 15,362"
Stainless Steel Drain Basket Rice Strainers Mesh Filter Silver,,,,"Rs.2,682","Rs. 5,326"
"Microporous Colander Capacity with Mixing Bowl for Washing Vegetables, Fruit and Rice and for Draining Cooked Pasta",,,,"Rs.2,192","Rs. 4,275"
Gyan Premium Basmati Rice 1Kg,,,,Rs.160,
Gyan Premium Basmati Rice 2Kg,,,,Rs.320,
Maharani Brown Basmati Rice 1kg,5/5,(1),,Rs.250,
"Maharani Parboiled Basmati Rice, 5 Kg",,,,"Rs.1,750",
Sara Foods Brown Basmati Rice - 5kg,,,,Rs.900,
Sara Foods Brown Basmati Rice - 1kg,,,,Rs.180,
Sara Foods Marsi Rice - 1kg,,,,Rs.270,
